code,ticker,name,exchange,board,listing_date,listing_time_local,timezone,listing_datetime_local,listing_date_source,listing_time_basis,basis_confidence,exact_first_trade_time_available,first_price_date,listing_minus_first_price_days,date_alignment_status,effective_price_start_date,identity_review_priority,identity_review_status,identity_review_note,bazi,day_stem,month_branch,main_god,auxiliary_gods,price_rows,last_price_date,price_file
sz.002188,SZ002188,中天服务,SZ,Shenzhen Main,2007-11-22,09:30:00,Asia/Shanghai,2007-11-22T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-11-22,0,aligned,2007-11-22,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 辛亥 庚申 辛巳,庚,亥,丁,丙,4376,2026-09-18,by_symbol/SZ002188.parquet
sz.002189,SZ002189,中光学,SZ,Shenzhen Main,2007-12-03,09:30:00,Asia/Shanghai,2007-12-03T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-03,0,aligned,2007-12-03,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 辛亥 辛未 癸巳,辛,亥,壬,丙,4369,2026-09-18,by_symbol/SZ002189.parquet
sz.002190,SZ002190,成飞集成,SZ,Shenzhen Main,2007-12-03,09:30:00,Asia/Shanghai,2007-12-03T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-03,0,aligned,2007-12-03,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 辛亥 辛未 癸巳,辛,亥,壬,丙,4303,2026-09-18,by_symbol/SZ002190.parquet
sz.002191,SZ002191,劲嘉股份,SZ,Shenzhen Main,2007-12-05,09:30:00,Asia/Shanghai,2007-12-05T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-05,0,aligned,2007-12-05,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 辛亥 癸酉 丁巳,癸,亥,庚,辛、戊、丁,4424,2026-09-18,by_symbol/SZ002191.parquet
sz.002192,SZ002192,融捷股份,SZ,Shenzhen Main,2007-12-05,09:30:00,Asia/Shanghai,2007-12-05T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-05,0,aligned,2007-12-05,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 辛亥 癸酉 丁巳,癸,亥,庚,辛、戊、丁,4430,2026-09-18,by_symbol/SZ002192.parquet
sz.002193,SZ002193,ST如意,SZ,Shenzhen Main,2007-12-07,09:30:00,Asia/Shanghai,2007-12-07T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-07,0,aligned,2007-12-07,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 辛亥 乙亥 辛巳,乙,亥,丙,戊,4321,2026-09-18,by_symbol/SZ002193.parquet
sz.002194,SZ002194,武汉凡谷,SZ,Shenzhen Main,2007-12-07,09:30:00,Asia/Shanghai,2007-12-07T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-07,0,aligned,2007-12-07,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 辛亥 乙亥 辛巳,乙,亥,丙,戊,4508,2026-09-18,by_symbol/SZ002194.parquet
sz.002195,SZ002195,岩山科技,SZ,Shenzhen Main,2007-12-12,09:30:00,Asia/Shanghai,2007-12-12T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-12,0,aligned,2007-12-12,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬子 庚辰 辛巳,庚,子,丁,甲、丙,4464,2026-09-18,by_symbol/SZ002195.parquet
sz.002196,SZ002196,方正电机,SZ,Shenzhen Main,2007-12-12,09:30:00,Asia/Shanghai,2007-12-12T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-12,0,aligned,2007-12-12,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬子 庚辰 辛巳,庚,子,丁,甲、丙,4393,2026-09-18,by_symbol/SZ002196.parquet
sz.002197,SZ002197,证通电子,SZ,Shenzhen Main,2007-12-18,09:30:00,Asia/Shanghai,2007-12-18T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-18,0,aligned,2007-12-18,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬子 丙戌 癸巳,丙,子,壬,戊、己,4498,2026-09-18,by_symbol/SZ002197.parquet
sz.002198,SZ002198,ST嘉应,SZ,Shenzhen Main,2007-12-18,09:30:00,Asia/Shanghai,2007-12-18T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-18,0,aligned,2007-12-18,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬子 丙戌 癸巳,丙,子,壬,戊、己,4393,2026-09-18,by_symbol/SZ002198.parquet
sz.002199,SZ002199,东晶电子,SZ,Shenzhen Main,2007-12-21,09:30:00,Asia/Shanghai,2007-12-21T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-21,0,aligned,2007-12-21,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬子 己丑 己巳,己,子,丙,甲、戊,4315,2026-09-18,by_symbol/SZ002199.parquet
sz.002200,SZ002200,交投生态,SZ,Shenzhen Main,2007-12-21,09:30:00,Asia/Shanghai,2007-12-21T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-21,0,aligned,2007-12-21,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬子 己丑 己巳,己,子,丙,甲、戊,4390,2026-09-18,by_symbol/SZ002200.parquet
sz.002201,SZ002201,九鼎新材,SZ,Shenzhen Main,2007-12-26,09:30:00,Asia/Shanghai,2007-12-26T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-26,0,aligned,2007-12-26,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬子 甲午 己巳,甲,子,丁,庚、丙,4320,2026-09-18,by_symbol/SZ002201.parquet
sz.002202,SZ002202,金风科技,SZ,Shenzhen Main,2007-12-26,09:30:00,Asia/Shanghai,2007-12-26T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-12-26,0,aligned,2007-12-26,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬子 甲午 己巳,甲,子,丁,庚、丙,4522,2026-09-18,by_symbol/SZ002202.parquet
sz.002203,SZ002203,海亮股份,SZ,Shenzhen Main,2008-01-16,09:30:00,Asia/Shanghai,2008-01-16T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2008-01-16,0,aligned,2008-01-16,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 癸丑 乙卯 辛巳,乙,丑,丙,,4293,2026-09-18,by_symbol/SZ002203.parquet
sz.002204,SZ002204,大连重工,SZ,Shenzhen Main,2008-01-16,09:30:00,Asia/Shanghai,2008-01-16T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2008-01-16,0,aligned,2008-01-16,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 癸丑 乙卯 辛巳,乙,丑,丙,,4502,2026-09-18,by_symbol/SZ002204.parquet
sz.002205,SZ002205,国统股份,SZ,Shenzhen Main,2008-01-23,09:30:00,Asia/Shanghai,2008-01-23T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2008-01-23,0,aligned,2008-01-23,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 癸丑 壬戌 乙巳,壬,丑,丙,丁、甲,4500,2026-09-18,by_symbol/SZ002205.parquet
sz.002206,SZ002206,海利得,SZ,Shenzhen Main,2008-01-23,09:30:00,Asia/Shanghai,2008-01-23T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2008-01-23,0,aligned,2008-01-23,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 癸丑 壬戌 乙巳,壬,丑,丙,丁、甲,4486,2026-09-18,by_symbol/SZ002206.parquet
sz.002207,SZ002207,*ST准油,SZ,Shenzhen Main,2008-01-28,09:30:00,Asia/Shanghai,2008-01-28T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2008-01-28,0,aligned,2008-01-28,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 癸丑 丁卯 乙巳,丁,丑,甲,庚,4162,2026-09-18,by_symbol/SZ002207.parquet
sz.002208,SZ002208,合肥城建,SZ,Shenzhen Main,2008-01-28,09:30:00,Asia/Shanghai,2008-01-28T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2008-01-28,0,aligned,2008-01-28,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 癸丑 丁卯 乙巳,丁,丑,甲,庚,4455,2026-09-18,by_symbol/SZ002208.parquet
